Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
238  -0.259545  -0.391965  -0.506195  0.091899  -0.027753  9.737179  33.73  0.000  0.000  0.000  
239  -0.252200  -0.298811  -0.535387  0.107508  -0.021620  9.741501  33.73  0.000  0.000  0.000  
240  -0.260591  -0.309032  -0.444540  0.097936  -0.022606  9.728307  33.73  0.000  0.000  0.000  
241  -0.214697  -0.338210  -0.490191  0.111627  -0.027837  9.745905  33.73  0.000  0.000  0.000  
242  -0.206636  -0.290388  -0.535182  0.108642  -0.027607  9.749596  33.73  0.000  0.000  0.000  
243  -0.183574  -0.358553  -0.588844  0.105008  -0.033685  9.728601  33.73  0.000  0.000  0.000  
244  -0.221449  -0.367674  -0.528567  0.105653  -0.026594  9.756250  33.71  0.000  0.000  0.000  
245  -0.169308  -0.313476  -0.557826  0.106783  -0.032970  9.758941  33.71  0.000  0.000  0.000  
246  -0.236670  -0.352113  -0.551122  0.098988  -0.035476  9.756893  33.71  0.000  0.000  0.000  
247  -0.221805  -0.344424  -0.558474  0.105592  -0.033939  9.741497  33.71  0.000  0.000  0.000  
248  -0.206367  -0.320207  -0.588503  0.094840  -0.033663  9.732553  33.71  0.000  0.000  0.000  
249  -0.230377  -0.322513  -0.557987  0.111702  -0.021301  9.727690  33.71  0.000  0.000  0.000  
250  -0.244471  -0.329260  -0.550846  0.106196  -0.033451  9.741497  33.71  0.000  0.000  0.000  
251  -0.268057  -0.292581  -0.504923  0.104491  -0.025887  9.719034  33.71  0.000  0.000  0.000  
252  -0.267312  -0.305989  -0.580896  0.100267  -0.028763  9.733584  33.71  0.000  0.000  0.000  
253  -0.289469  -0.352355  -0.558927  0.090069  -0.033938  9.710131  33.71  0.000  0.000  0.000  
254  -0.244408  -0.336458  -0.581188  0.091887  -0.029127  9.738690  33.71  0.000  0.000  0.000  
255  -0.259727  -0.312812  -0.633880  0.091949  -0.024038  9.720855  33.71  0.000  0.000  0.000  
